population,msa,gender,edu,race
250437,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,"Some college, no degree",HISPANIC OR LATINO
77977,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,GED or alternative credential,HISPANIC OR LATINO
220781,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Bachelor's degree,HISPANIC OR LATINO
100243,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Associate's degree,HISPANIC OR LATINO
246606,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Less than 9th grade,HISPANIC OR LATINO
394312,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Regular high school diploma,HISPANIC OR LATINO
166883,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,"9th to 12th grade, no diploma",HISPANIC OR LATINO
104659,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Graduate or professional degree,HISPANIC OR LATINO
157149,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,"9th to 12th grade, no diploma",HISPANIC OR LATINO
247425,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Less than 9th grade,HISPANIC OR LATINO
6190,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Bachelor's degree or higher,AMERICAN INDIAN AND ALASKA NATIVE ALONE
9053,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Some college or associate's degree,AMERICAN INDIAN AND ALASKA NATIVE ALONE
10169,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Less than high school diploma,AMERICAN INDIAN AND ALASKA NATIVE ALONE
9691,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,High school graduate (includes equivalency),AMERICAN INDIAN AND ALASKA NATIVE ALONE
10729,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,High school graduate (includes equivalency),AMERICAN INDIAN AND ALASKA NATIVE ALONE
13358,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Less than high school diploma,AMERICAN INDIAN AND ALASKA NATIVE ALONE
,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,"Some college, no degree",NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Associate's degree,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Regular high school diploma,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,GED or alternative credential,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Less than 9th grade,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,"9th to 12th grade, no diploma",NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Graduate or professional degree,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
